iter	AUC	Logloss
0	0.6090773046	0.6928231081
1	0.6270606518	0.692460026
2	0.6330342293	0.6921031608
3	0.6354520917	0.6917909573
4	0.6341030598	0.691440309
5	0.6348921061	0.6910812286
6	0.6374692619	0.6907783148
7	0.6369752884	0.6904463888
8	0.6357029378	0.6901212513
9	0.6358558238	0.6897956136
10	0.6376009285	0.6895056338
11	0.6376331151	0.689198361
12	0.6382475197	0.6889086671
13	0.6400824487	0.6885858163
14	0.6406019032	0.688275042
15	0.641744405	0.6880156466
16	0.6410279572	0.6877419595
17	0.6410835981	0.6874545522
18	0.6406146586	0.6871676452
19	0.6403792202	0.6868843825
20	0.640281707	0.6865893292
21	0.641518712	0.6862877017
22	0.641692549	0.6859975075
23	0.642445147	0.6857692681
24	0.6428144574	0.6855277374
25	0.6427938044	0.6852543361
26	0.642544806	0.6850071602
27	0.642229408	0.6847639859
28	0.6424150467	0.6844908704
29	0.642676264	0.6842150395
30	0.6426012218	0.6839437105
31	0.6428991854	0.683678384
32	0.6432897151	0.6834412837
33	0.6431754827	0.6831775294
34	0.6436479092	0.6829144896
35	0.6432544887	0.6826931102
36	0.6426661909	0.6824763043
37	0.6425706446	0.6822205533
38	0.6425274312	0.6820071059
39	0.64267838	0.681757143
40	0.6427137554	0.6815178275
41	0.6425051689	0.6813057379
42	0.6422201693	0.6811377382
43	0.642529428	0.6809469433
44	0.6427003443	0.6807049124
45	0.6429723203	0.6804519483
46	0.6430331767	0.6802640116
47	0.6430894434	0.6800161211
48	0.6428477168	0.6798244686
49	0.6433523893	0.6795957291
50	0.6431592703	0.679424228
51	0.6436611712	0.6792017053
52	0.6436883211	0.6789843277
53	0.6439927518	0.6787925323
54	0.6439647675	0.6786007369
55	0.6440013647	0.6784091559
56	0.6441506743	0.6782232916
57	0.6441266537	0.6780207774
58	0.6440262794	0.6778542784
59	0.6441032887	0.6776516213
60	0.6439248323	0.6775000572
61	0.6439760327	0.6772843945
62	0.6444341838	0.6770821662
63	0.6446105838	0.6769232418
64	0.6445894241	0.6767685336
65	0.6446487606	0.67657095
66	0.6449703276	0.6763757961
67	0.645247817	0.676221588
68	0.6452508569	0.6760836011
69	0.645185262	0.6759273207
70	0.6453664005	0.6757641088
71	0.6459507942	0.6755726707
72	0.6460007727	0.6754311109
73	0.6460940838	0.6752824051
74	0.6466910243	0.6750921818
75	0.6469105184	0.6749364731
76	0.647489965	0.6747577547
77	0.6475716531	0.6746216972
78	0.6475904882	0.6744652739
79	0.6474357545	0.6743475813
80	0.6475031376	0.6742099516
81	0.6473387778	0.674086185
82	0.6476047039	0.6739377651
83	0.6477821469	0.6738074957
84	0.6478353441	0.6736351371
85	0.6478250921	0.6734680665
86	0.6479780078	0.6733351532
87	0.6483364403	0.6731675823
88	0.6485822201	0.6730141603
89	0.648848474	0.6728340841
90	0.6488569379	0.6727025285
91	0.6490541101	0.6725638984
92	0.6493983567	0.6724096904
93	0.6496106386	0.672250909
94	0.649757117	0.6721166379
95	0.6496717334	0.671995158
96	0.64991346	0.6718254433
97	0.650134176	0.6716746653
98	0.6503729224	0.6715455393
99	0.6504282057	0.6714173422
100	0.6505564749	0.6712855007
101	0.6507188082	0.6711538736
102	0.6506988108	0.6710341087
103	0.650726378	0.67090534
104	0.6507362425	0.67080737
105	0.6510308981	0.6706475881
106	0.6514917612	0.670477016
107	0.6517259181	0.6703480329
108	0.6517662108	0.6702469187
109	0.6516197324	0.6701637407
110	0.6517061293	0.670028755
111	0.6519172192	0.6698724032
112	0.6519915462	0.6697240547
113	0.6520867348	0.6696180814
114	0.6522277892	0.6694884551
115	0.6521860063	0.6693995604
116	0.6522522271	0.6692700771
117	0.6523379087	0.6691623172
118	0.6523766816	0.669054343
119	0.6524707675	0.6689239307
120	0.6526249349	0.6688215302
121	0.6526914835	0.6687164144
122	0.6527464092	0.668604367
123	0.6528404653	0.6684725255
124	0.6530127227	0.6683594777
125	0.6530539989	0.6682813018
126	0.6532431245	0.6681309525
127	0.6534934044	0.6679854624
128	0.6536080837	0.6678680556
129	0.6537198722	0.6677474332
130	0.6536914706	0.6676651841
131	0.6540416181	0.6675496353
132	0.6540561914	0.6674303706
133	0.654216826	0.6673238255
134	0.6544453204	0.6671846238
135	0.6544699073	0.6670827236
136	0.654617995	0.6669548123
137	0.6549162865	0.6668196838
138	0.6549340189	0.6667399357
139	0.6551539898	0.6665980186
140	0.6552673876	0.6664768959
141	0.6553128362	0.6664085813
142	0.6553505063	0.6663186862
143	0.6555885673	0.6661739107
144	0.6555983424	0.6660805855
145	0.6556876898	0.6659558185
146	0.6556191146	0.6658706396
147	0.655785799	0.6657518036
148	0.6559951901	0.6656415427
149	0.6562164128	0.66554736
150	0.6562247574	0.6654576792
151	0.6562946737	0.665380075
152	0.6563853025	0.6652870357
153	0.6564602852	0.6651779181
154	0.6566937864	0.6650745172
155	0.6567749679	0.6649857654
156	0.6569864452	0.6648918686
157	0.6571612954	0.66476017
158	0.6571977437	0.6646702749
159	0.6573699117	0.6645409345
160	0.6574314237	0.664437748
161	0.6574794054	0.6643384917
162	0.6576085687	0.6642237289
163	0.6576838195	0.6641120388
164	0.657782346	0.66400335
165	0.6577759683	0.6639301762
166	0.6579086781	0.6638531436
167	0.6579357684	0.6637691081
168	0.6580637395	0.6636948624
169	0.6581501067	0.6635886032
170	0.6582013667	0.6635097841
171	0.6583401859	0.6633766564
172	0.6583972275	0.663271612
173	0.6585099995	0.6631611367
174	0.6585864425	0.6630648103
175	0.6585930288	0.6629830614
176	0.6587823927	0.662900455
177	0.6589575112	0.6628235654
178	0.6590900719	0.6627122326
179	0.6591719985	0.6626310554
180	0.6591914296	0.6625574529
181	0.6592915356	0.6624794913
182	0.6594633162	0.6623592262
183	0.6595982611	0.6622691167
184	0.6596907973	0.6621937276
185	0.6598022878	0.6621201251
186	0.6599396169	0.6619956439
187	0.6599964201	0.6619040337
188	0.6600150168	0.661847224
189	0.6600692272	0.6617630455
190	0.6602221429	0.6616707922
191	0.6603627801	0.6615838983
192	0.6603934467	0.6614910734
193	0.6604809463	0.6613810268
194	0.6605758667	0.661289774
195	0.66069749	0.6611711524
196	0.660748601	0.6611236323
197	0.6608050764	0.6610305215
198	0.6608314812	0.6609448424
199	0.660967499	0.6608532322
200	0.6611033678	0.6607621223
201	0.6613097787	0.6606745853
202	0.6614326537	0.6605902639
203	0.6614662111	0.6605218778
204	0.6615056396	0.6604375565
205	0.6615749896	0.6603582372
206	0.6616164744	0.6602834913
207	0.6617001891	0.660218178
208	0.6616942585	0.660154008
209	0.6617224514	0.6600881944
210	0.6617425382	0.6600163784
211	0.6617434025	0.6599543521
212	0.6618585885	0.659864457
213	0.6619520783	0.6597986434
214	0.6620362103	0.6597094629
215	0.6620929241	0.6596507237
216	0.6621578038	0.6595572556
217	0.6622047424	0.6594781508
218	0.6623879671	0.6594113368
219	0.6624512076	0.6593295165
220	0.6625643969	0.6592514835
221	0.6625805199	0.6592082509
222	0.6626426876	0.6591432949
223	0.6626611352	0.6590619748
224	0.6627762318	0.6590033786
225	0.6627871394	0.6589382796
226	0.6628541946	0.6588611041
227	0.6628877223	0.6588013646
228	0.6630105078	0.6586933189
229	0.6630299687	0.6586313641
230	0.6630698144	0.6585944914
231	0.6631644964	0.6585316077
232	0.6631813645	0.6584513594
233	0.6632789075	0.6583726833
234	0.6634247601	0.6583113717
235	0.6635249853	0.658243986
236	0.6635828018	0.6581854613
237	0.6637010574	0.6580828465
238	0.6637086868	0.6580206059
239	0.6637123525	0.6579440735
240	0.6638483703	0.6578591805
241	0.6638801694	0.6578005842
242	0.6639167666	0.6577342705
243	0.6639264822	0.6576985411
244	0.6641016603	0.6576272252
245	0.6642355919	0.6575752032
246	0.6642447412	0.6575372586
247	0.664269805	0.6574802345
248	0.6643094122	0.6574121343
249	0.6643243134	0.6573560391
250	0.664344728	0.6573034455
251	0.6643519104	0.6572489224
252	0.6644247472	0.657160242
253	0.6644698977	0.6570873541
254	0.6645865142	0.6570215405
255	0.6646186411	0.6569484382
256	0.6646214724	0.6568838395
257	0.664650172	0.6568411071
258	0.6647923887	0.6567466386
259	0.6647666097	0.6567035489
260	0.6649344563	0.6566067223
261	0.6650168598	0.6565644187
262	0.6650380492	0.6564963899
263	0.6650650799	0.6564357928
264	0.6650897563	0.6563944897
265	0.6651374102	0.6563440398
266	0.665147841	0.6562784406
267	0.6651661098	0.656210126
268	0.66518417	0.6561549598
269	0.6652176082	0.6561003653
270	0.6652228832	0.6560416976
271	0.6653005779	0.6559718109
272	0.6654158533	0.655931794
273	0.6654307842	0.6558825589
274	0.6655579805	0.6558135297
275	0.6656053364	0.655772298
276	0.6656042635	0.6557367115
277	0.6656328142	0.6556812595
278	0.6656830907	0.6556227348
279	0.6656691432	0.6555678544
280	0.6656812429	0.6555150464
281	0.6656841934	0.6554730286
282	0.6657302082	0.6554187914
283	0.6657618582	0.6553675554
284	0.6658176482	0.6553195351
285	0.66584149	0.6552888793
286	0.6658625901	0.6552547935
287	0.6658979952	0.6551954112
288	0.6660001576	0.6551391731
289	0.6660295129	0.6551029435
290	0.6660407782	0.6550589964
291	0.6660791337	0.6550260539
292	0.6662070751	0.6549718881
293	0.6663445234	0.6548929262
294	0.6663713455	0.6548501938
295	0.6664061844	0.6548137498
296	0.6664666831	0.6547803786
297	0.666551888	0.6547187811
298	0.6665763855	0.6546875536
299	0.6665946543	0.6546514669
300	0.666723758	0.6546073768
301	0.6668170989	0.6545443502
302	0.666839242	0.6545201971
303	0.666863054	0.6544746779
304	0.6668896377	0.6544260859
305	0.6669309735	0.6543767079
306	0.6670793891	0.654320184
307	0.667150259	0.6542846689
308	0.6672495902	0.6542389353
309	0.6672890484	0.6541890571
310	0.6673999429	0.6540996621
311	0.6674745381	0.6540542858
312	0.6675224602	0.6540197712
313	0.6675376296	0.6539849708
314	0.6675350368	0.6539428101
315	0.6675634384	0.6538942896
316	0.6675956547	0.6538526291
317	0.6676223278	0.6538236883
318	0.6677242517	0.653774739
319	0.6677186191	0.6537232887
320	0.6677526534	0.653675983
321	0.6677847207	0.6536202451
322	0.6678625345	0.6535896608
323	0.6678744555	0.6535481432
324	0.6679657698	0.6534994798
325	0.6679845154	0.6534612493
326	0.6680335701	0.6534254485
327	0.6680656374	0.6533761419
328	0.6680848598	0.6533267639
329	0.6680939198	0.6533004671
330	0.6681512296	0.6532592353
331	0.6681888402	0.6532157884
332	0.6682454944	0.6531924214
333	0.668379277	0.6531215342
334	0.6684571505	0.65307773
335	0.6685039103	0.653037856
336	0.6686189175	0.6530018408
337	0.6688163877	0.6529066577
338	0.6688122153	0.6528773596
339	0.6688407362	0.652822908
340	0.6689042449	0.6527685993
341	0.6689167917	0.6527121469
342	0.6689324975	0.6526609109
343	0.6690039933	0.652615606
344	0.6690652072	0.6525719447
345	0.6690913439	0.6525318563
346	0.6691391468	0.6525050593
347	0.6691554487	0.6524655426
348	0.6692803502	0.652424954
349	0.6693035364	0.6524009438
350	0.6693308949	0.6523544242
351	0.6694341302	0.6523086191
352	0.6694811285	0.6522806072
353	0.6694948375	0.6522599556
354	0.6695718169	0.6522095772
355	0.669633925	0.6521738478
356	0.6697021127	0.6521411911
357	0.6698001623	0.6520966008
358	0.6699053645	0.6520579416
359	0.6699438393	0.6520328596
360	0.6699566245	0.6519891268
361	0.669980675	0.651951468
362	0.6700075567	0.6519058059
363	0.6700338125	0.6518640025
364	0.6700544357	0.6518282731
365	0.6701063812	0.6517886849
366	0.6701888144	0.651759101
367	0.6702169776	0.6517206562
368	0.6702389717	0.6516833547
369	0.6702679992	0.651648054
370	0.6702814102	0.6516131107
371	0.6702939868	0.651575309
372	0.6703407764	0.6515373644
373	0.6703627706	0.6515175703
374	0.6704470515	0.6514809119
375	0.6704961061	0.651458188
376	0.6705271006	0.6514203863
377	0.6705595255	0.6513781542
378	0.670583725	0.6513405669
379	0.6706240177	0.6513236311
