iter	Passed	Remaining
0	23	11627
1	52	13185
2	82	13715
3	112	13964
4	142	14103
5	172	14176
6	201	14215
7	231	14242
8	261	14261
9	291	14267
10	320	14253
11	350	14252
12	380	14245
13	410	14235
14	439	14219
15	470	14232
16	500	14210
17	529	14189
18	559	14165
19	589	14146
20	619	14124
21	648	14096
22	687	14261
23	717	14235
24	747	14199
25	777	14166
26	807	14146
27	840	14174
28	870	14139
29	901	14120
30	931	14088
31	961	14056
32	990	14020
33	1020	13986
34	1050	13957
35	1080	13928
36	1110	13893
37	1139	13859
38	1169	13826
39	1199	13793
40	1229	13760
41	1258	13727
42	1288	13693
43	1318	13662
44	1347	13628
45	1377	13597
46	1407	13563
47	1436	13531
48	1466	13499
49	1496	13467
50	1526	13435
51	1555	13404
52	1585	13372
53	1615	13342
54	1645	13310
55	1675	13287
56	1705	13256
57	1735	13225
58	1765	13193
59	1794	13161
60	1824	13130
61	1854	13103
62	1884	13072
63	1914	13041
64	1943	13009
65	1973	12979
66	2003	12949
67	2033	12918
68	2063	12887
69	2092	12856
70	2122	12824
71	2152	12794
72	2182	12764
73	2211	12732
74	2241	12702
75	2272	12676
76	2302	12646
77	2332	12617
78	2362	12587
79	2391	12556
80	2421	12525
81	2451	12495
82	2480	12464
83	2510	12433
84	2540	12403
85	2569	12368
86	2599	12338
87	2628	12306
88	2658	12277
89	2688	12246
90	2718	12216
91	2747	12185
92	2777	12156
93	2807	12125
94	2837	12096
95	2867	12066
96	2897	12036
97	2926	12006
98	2956	11976
99	2986	11946
100	3016	11915
101	3045	11885
102	3075	11854
103	3105	11823
104	3134	11793
105	3164	11763
106	3194	11732
107	3224	11702
108	3253	11672
109	3283	11642
110	3313	11612
111	3343	11581
112	3373	11551
113	3402	11519
114	3431	11488
115	3462	11461
116	3491	11429
117	3521	11399
118	3550	11368
119	3580	11338
120	3610	11308
121	3640	11278
122	3669	11248
123	3699	11218
124	3729	11187
125	3759	11157
126	3788	11128
127	3818	11098
128	3843	11052
129	3873	11023
130	3902	10992
131	3932	10962
132	3961	10932
133	3991	10901
134	4023	10878
135	4054	10851
136	4084	10821
137	4112	10788
138	4142	10758
139	4172	10728
140	4202	10698
141	4231	10669
142	4261	10639
143	4291	10609
144	4321	10579
145	4350	10549
146	4381	10522
147	4411	10491
148	4441	10462
149	4471	10432
150	4500	10402
151	4530	10372
152	4560	10342
153	4590	10312
154	4619	10283
155	4651	10257
156	4681	10227
157	4711	10197
158	4740	10167
159	4770	10138
160	4800	10108
161	4830	10078
162	4860	10048
163	4890	10018
164	4919	9988
165	4949	9958
166	4979	9928
167	5008	9898
168	5038	9868
169	5068	9839
170	5098	9809
171	5128	9779
172	5158	9749
173	5187	9719
174	5217	9689
175	5248	9661
176	5277	9631
177	5307	9601
178	5337	9571
179	5367	9541
180	5397	9512
181	5427	9482
182	5456	9452
183	5486	9422
184	5516	9392
185	5545	9362
186	5575	9332
187	5605	9302
188	5635	9272
189	5664	9242
190	5694	9212
191	5724	9182
192	5754	9152
193	5783	9122
194	5813	9092
195	5843	9064
196	5873	9034
197	5903	9004
198	5933	8975
199	5963	8945
200	5992	8914
201	6022	8884
202	6048	8848
203	6078	8819
204	6107	8789
205	6137	8759
206	6167	8729
207	6196	8699
208	6226	8669
209	6256	8639
210	6286	8609
211	6315	8580
212	6345	8550
213	6374	8518
214	6404	8489
215	6433	8459
216	6463	8429
217	6493	8400
218	6523	8370
219	6553	8340
220	6583	8310
221	6612	8280
222	6642	8251
223	6672	8221
224	6702	8191
225	6732	8161
226	6761	8132
227	6791	8102
228	6821	8072
229	6851	8042
230	6880	8012
