symbol,eligible_year
ACWI,2011
ACWI,2012
ACWI,2013
ACWI,2014
ACWI,2015
ACWI,2016
ACWI,2017
ACWI,2018
ACWI,2019
ACWI,2020
ACWI,2021
ACWI,2022
ACWI,2023
ACWI,2024
ACWI,2025
ACWI,2026
ACWX,2013
ACWX,2014
ACWX,2015
ACWX,2016
ACWX,2017
ACWX,2018
ACWX,2019
ACWX,2020
ACWX,2021
ACWX,2022
ACWX,2023
ACWX,2024
ACWX,2025
ACWX,2026
AGG,2007
AGG,2008
AGG,2009
AGG,2010
AGG,2011
AGG,2012
AGG,2013
AGG,2014
AGG,2015
AGG,2016
AGG,2017
AGG,2018
AGG,2019
AGG,2020
AGG,2021
AGG,2022
AGG,2023
AGG,2024
AGG,2025
AGG,2026
BIL,2010
BIL,2011
BIL,2012
BIL,2013
BIL,2014
BIL,2015
BIL,2016
BIL,2017
BIL,2018
BIL,2019
BIL,2020
BIL,2021
BIL,2022
BIL,2023
BIL,2024
BIL,2025
BIL,2026
BND,2009
BND,2010
BND,2011
BND,2012
BND,2013
BND,2014
BND,2015
BND,2016
BND,2017
BND,2018
BND,2019
BND,2020
BND,2021
BND,2022
BND,2023
BND,2024
BND,2025
BND,2026
BNDX,2015
BNDX,2016
BNDX,2017
BNDX,2018
BNDX,2019
BNDX,2020
BNDX,2021
BNDX,2022
BNDX,2023
BNDX,2024
BNDX,2025
BNDX,2026
DBA,2009
DBA,2010
DBA,2011
DBA,2012
DBA,2013
DBA,2014
DBA,2015
DBA,2017
DBA,2018
DBA,2019
DBA,2022
DBA,2023
DBA,2024
DBA,2025
DBC,2009
DBC,2010
DBC,2011
DBC,2012
DBC,2013
DBC,2014
DBC,2015
DBC,2016
DBC,2017
DBC,2018
DBC,2019
DBC,2020
DBC,2021
DBC,2022
DBC,2023
DBC,2024
DBC,2025
DBC,2026
DIA,2007
DIA,2008
DIA,2009
DIA,2010
DIA,2011
DIA,2012
DIA,2013
DIA,2014
DIA,2015
DIA,2016
DIA,2017
DIA,2018
DIA,2019
DIA,2020
DIA,2021
DIA,2022
DIA,2023
DIA,2024
DIA,2025
DIA,2026
DVY,2007
DVY,2008
DVY,2009
DVY,2010
DVY,2011
DVY,2012
DVY,2013
DVY,2014
DVY,2015
DVY,2016
DVY,2017
DVY,2018
DVY,2019
DVY,2020
DVY,2021
DVY,2022
DVY,2023
DVY,2024
DVY,2025
DVY,2026
EEM,2007
EEM,2008
EEM,2009
EEM,2010
EEM,2011
EEM,2012
EEM,2013
EEM,2014
EEM,2015
EEM,2016
EEM,2017
EEM,2018
EEM,2019
EEM,2020
EEM,2021
EEM,2022
EEM,2023
EEM,2024
EEM,2025
EEM,2026
EFA,2007
EFA,2008
EFA,2009
EFA,2010
EFA,2011
EFA,2012
EFA,2013
EFA,2014
EFA,2015
EFA,2016
EFA,2017
EFA,2018
EFA,2019
EFA,2020
EFA,2021
EFA,2022
EFA,2023
EFA,2024
EFA,2025
EFA,2026
EMB,2011
EMB,2012
EMB,2013
EMB,2014
EMB,2015
EMB,2016
EMB,2017
EMB,2018
EMB,2019
EMB,2020
EMB,2021
EMB,2022
EMB,2023
EMB,2024
EMB,2025
EMB,2026
EWA,2008
EWA,2009
EWA,2010
EWA,2011
EWA,2012
EWA,2013
EWA,2014
EWA,2015
EWA,2016
EWA,2017
EWA,2018
EWA,2019
EWA,2020
EWA,2021
EWA,2022
EWA,2023
EWA,2024
EWA,2025
EWA,2026
EWC,2007
EWC,2008
EWC,2009
EWC,2010
EWC,2011
EWC,2012
EWC,2013
EWC,2014
EWC,2015
EWC,2016
EWC,2017
EWC,2018
EWC,2019
EWC,2020
EWC,2021
EWC,2022
EWC,2023
EWC,2024
EWC,2025
EWC,2026
EWG,2007
EWG,2008
EWG,2009
EWG,2010
EWG,2011
EWG,2012
EWG,2013
EWG,2014
EWG,2015
EWG,2016
EWG,2017
EWG,2018
EWG,2019
EWG,2020
EWG,2021
EWG,2022
EWG,2023
EWG,2024
EWG,2025
EWG,2026
EWH,2007
EWH,2008
EWH,2009
EWH,2010
EWH,2011
EWH,2012
EWH,2013
EWH,2014
EWH,2015
EWH,2016
EWH,2017
EWH,2018
EWH,2019
EWH,2020
EWH,2021
EWH,2022
EWH,2023
EWH,2024
EWH,2025
EWH,2026
EWI,2009
EWI,2014
EWI,2015
EWI,2016
EWI,2017
EWI,2018
EWI,2019
EWI,2020
EWI,2021
EWI,2022
EWI,2023
EWI,2024
EWI,2025
EWI,2026
EWJ,2007
EWJ,2008
EWJ,2009
EWJ,2010
EWJ,2011
EWJ,2012
EWJ,2013
EWJ,2014
EWJ,2015
EWJ,2016
EWJ,2017
EWJ,2018
EWJ,2019
EWJ,2020
EWJ,2021
EWJ,2022
EWJ,2023
EWJ,2024
EWJ,2025
EWJ,2026
EWL,2014
EWL,2015
EWL,2016
EWL,2017
EWL,2018
EWL,2019
EWL,2020
EWL,2021
EWL,2022
EWL,2023
EWL,2024
EWL,2025
EWL,2026
EWP,2008
EWP,2009
EWP,2011
EWP,2012
EWP,2013
EWP,2014
EWP,2015
EWP,2016
EWP,2017
EWP,2018
EWP,2019
EWP,2020
EWP,2021
EWP,2022
EWP,2023
EWP,2024
EWP,2025
EWP,2026
EWQ,2009
EWQ,2013
EWQ,2014
EWQ,2015
EWQ,2016
EWQ,2017
EWQ,2018
EWQ,2019
EWQ,2020
EWQ,2021
EWQ,2022
EWQ,2023
EWQ,2024
EWQ,2025
EWQ,2026
EWT,2007
EWT,2008
EWT,2009
EWT,2010
EWT,2011
EWT,2012
EWT,2013
EWT,2014
EWT,2015
EWT,2016
EWT,2017
EWT,2018
EWT,2019
EWT,2020
EWT,2021
EWT,2022
EWT,2023
EWT,2024
EWT,2025
EWT,2026
EWU,2008
EWU,2009
EWU,2010
EWU,2011
EWU,2012
EWU,2013
EWU,2014
EWU,2015
EWU,2016
EWU,2017
EWU,2018
EWU,2019
EWU,2020
EWU,2021
EWU,2022
EWU,2023
EWU,2024
EWU,2025
EWU,2026
EWW,2007
EWW,2008
EWW,2009
EWW,2010
EWW,2011
EWW,2012
EWW,2013
EWW,2014
EWW,2015
EWW,2016
EWW,2017
EWW,2018
EWW,2019
EWW,2020
EWW,2021
EWW,2022
EWW,2023
EWW,2024
EWW,2025
EWW,2026
EWY,2007
EWY,2008
EWY,2009
EWY,2010
EWY,2011
EWY,2012
EWY,2013
EWY,2014
EWY,2015
EWY,2016
EWY,2017
EWY,2018
EWY,2019
EWY,2020
EWY,2021
EWY,2022
EWY,2023
EWY,2024
EWY,2025
EWY,2026
EWZ,2007
EWZ,2008
EWZ,2009
EWZ,2010
EWZ,2011
EWZ,2012
EWZ,2013
EWZ,2014
EWZ,2015
EWZ,2016
EWZ,2017
EWZ,2018
EWZ,2019
EWZ,2020
EWZ,2021
EWZ,2022
EWZ,2023
EWZ,2024
EWZ,2025
EWZ,2026
EZA,2007
EZA,2008
EZA,2009
EZA,2010
EZA,2011
EZA,2012
EZA,2013
EZA,2014
EZA,2015
EZA,2016
EZA,2017
EZA,2018
EZA,2019
EZA,2020
EZA,2021
EZA,2022
EZA,2023
EZA,2026
FXB,2009
FXB,2010
FXB,2011
FXB,2017
FXB,2018
FXE,2007
FXE,2008
FXE,2009
FXE,2010
FXE,2011
FXE,2012
FXE,2013
FXE,2014
FXE,2015
FXE,2016
FXE,2017
FXE,2018
FXE,2019
FXE,2020
FXE,2021
FXE,2023
FXE,2026
FXI,2007
FXI,2008
FXI,2009
FXI,2010
FXI,2011
FXI,2012
FXI,2013
FXI,2014
FXI,2015
FXI,2016
FXI,2017
FXI,2018
FXI,2019
FXI,2020
FXI,2021
FXI,2022
FXI,2023
FXI,2024
FXI,2025
FXI,2026
FXY,2008
FXY,2009
FXY,2010
FXY,2011
FXY,2012
FXY,2013
FXY,2014
