symbol,n_days,coverage
AAL,1259,0.9992063492063492
AAPL,1259,0.9992063492063492
ABBV,1259,0.9992063492063492
ABC,1259,0.9992063492063492
ABT,1259,0.9992063492063492
ACN,1259,0.9992063492063492
ADM,1259,0.9992063492063492
AIG,1259,0.9992063492063492
AKAM,1259,0.9992063492063492
AMAT,1259,0.9992063492063492
AMGN,1259,0.9992063492063492
AMT,1259,0.9992063492063492
AMZN,1259,0.9992063492063492
ANTM,1259,0.9992063492063492
APA,1259,0.9992063492063492
ATVI,1259,0.9992063492063492
AVGO,1259,0.9992063492063492
AXP,1259,0.9992063492063492
BA,1259,0.9992063492063492
BAC,1259,0.9992063492063492
BAX,1259,0.9992063492063492
BBY,1259,0.9992063492063492
BIIB,1259,0.9992063492063492
BK,1259,0.9992063492063492
BMY,1259,0.9992063492063492
C,1259,0.9992063492063492
CAH,1259,0.9992063492063492
CAT,1259,0.9992063492063492
CF,1259,0.9992063492063492
CHTR,1259,0.9992063492063492
CI,1259,0.9992063492063492
CL,1259,0.9992063492063492
CMCSA,1259,0.9992063492063492
CME,1259,0.9992063492063492
CMG,1259,0.9992063492063492
COF,1259,0.9992063492063492
COP,1259,0.9992063492063492
COST,1259,0.9992063492063492
CRM,1259,0.9992063492063492
CSCO,1259,0.9992063492063492
CVS,1259,0.9992063492063492
CVX,1259,0.9992063492063492
DAL,1259,0.9992063492063492
DE,1259,0.9992063492063492
DFS,1259,0.9992063492063492
DG,1259,0.9992063492063492
DHI,1259,0.9992063492063492
DIS,1259,0.9992063492063492
DVN,1259,0.9992063492063492
EA,1259,0.9992063492063492
EBAY,1259,0.9992063492063492
EOG,1259,0.9992063492063492
ETN,1259,0.9992063492063492
EXPE,1259,0.9992063492063492
F,1259,0.9992063492063492
FB,1259,0.9992063492063492
FCX,1259,0.9992063492063492
FDX,1259,0.9992063492063492
FFIV,1259,0.9992063492063492
FOXA,1259,0.9992063492063492
GILD,1259,0.9992063492063492
GLW,1259,0.9992063492063492
GM,1259,0.9992063492063492
GOOG,1259,0.9992063492063492
GOOGL,1259,0.9992063492063492
GPS,1259,0.9992063492063492
GS,1259,0.9992063492063492
HAL,1259,0.9992063492063492
HCA,1259,0.9992063492063492
HD,1259,0.9992063492063492
HES,1259,0.9992063492063492
HIG,1259,0.9992063492063492
HPQ,1259,0.9992063492063492
HSY,1259,0.9992063492063492
HUM,1259,0.9992063492063492
IBM,1259,0.9992063492063492
ILMN,1259,0.9992063492063492
INTC,1259,0.9992063492063492
IP,1259,0.9992063492063492
ISRG,1259,0.9992063492063492
JNJ,1259,0.9992063492063492
JNPR,1259,0.9992063492063492
JPM,1259,0.9992063492063492
KMI,1259,0.9992063492063492
KO,1259,0.9992063492063492
LLY,1259,0.9992063492063492
LMT,1259,0.9992063492063492
LOW,1259,0.9992063492063492
LUV,1259,0.9992063492063492
MA,1259,0.9992063492063492
MAR,1259,0.9992063492063492
MCD,1259,0.9992063492063492
MCK,1259,0.9992063492063492
MDLZ,1259,0.9992063492063492
MDT,1259,0.9992063492063492
MET,1259,0.9992063492063492
MMM,1259,0.9992063492063492
MNST,1259,0.9992063492063492
MO,1259,0.9992063492063492
MOS,1259,0.9992063492063492
MPC,1259,0.9992063492063492
MRK,1259,0.9992063492063492
MRO,1259,0.9992063492063492
MS,1259,0.9992063492063492
MSFT,1259,0.9992063492063492
MU,1259,0.9992063492063492
NEM,1259,0.9992063492063492
NFLX,1259,0.9992063492063492
NKE,1259,0.9992063492063492
NSC,1259,0.9992063492063492
NTAP,1259,0.9992063492063492
NUE,1259,0.9992063492063492
NVDA,1259,0.9992063492063492
OKE,1259,0.9992063492063492
ORCL,1259,0.9992063492063492
PEP,1259,0.9992063492063492
PFE,1259,0.9992063492063492
PG,1259,0.9992063492063492
