date,open,high,low,close
1980-01-02,107.94,108.43,105.29,105.76
1980-01-03,105.76,106.08,103.29,105.22
1980-01-04,105.22,107.08,105.09,106.52
1980-01-07,106.52,107.8,105.8,106.81
1980-01-08,106.81,109.29,106.29,108.95
1980-01-09,108.95,111.09,108.41,109.05
1980-01-10,109.05,110.86,108.47,109.89
1980-01-11,109.89,111.16,108.89,109.92
1980-01-14,109.92,111.44,109.34,110.38
1980-01-15,110.38,111.93,109.45,111.14
1980-01-16,111.14,112.9,110.38,111.05
1980-01-17,111.05,112.01,109.81,110.7
1980-01-18,110.7,111.74,109.68,111.07
1980-01-21,111.07,112.9,110.66,112.1
1980-01-22,112.1,113.1,110.92,111.51
1980-01-23,111.51,113.93,110.93,113.44
1980-01-24,113.44,115.27,112.95,113.7
1980-01-25,113.7,114.45,112.36,113.61
1980-01-28,113.61,115.65,112.93,114.85
1980-01-29,114.85,115.77,113.03,114.07
1980-01-30,114.07,115.85,113.37,115.2
1980-01-31,115.2,117.17,113.78,114.16
1980-02-01,114.16,115.54,113.13,115.12
1980-02-04,115.12,116.01,113.83,114.37
1980-02-05,114.37,115.25,112.15,114.66
1980-02-06,114.66,116.57,113.65,115.72
1980-02-07,115.72,117.87,115.22,116.28
1980-02-08,116.28,118.66,115.72,117.95
1980-02-11,117.95,119.05,116.31,117.12
1980-02-12,117.12,118.41,115.75,117.9
1980-02-13,117.9,120.22,117.57,118.44
1980-02-14,118.44,119.3,116.04,116.72
1980-02-15,116.7,116.7,114.12,115.41
1980-02-19,115.41,115.67,113.35,114.6
1980-02-20,114.6,117.18,114.06,116.47
1980-02-21,116.47,117.9,114.44,115.28
1980-02-22,115.28,116.48,113.43,115.04
1980-02-25,114.93,114.93,112.62,113.33
1980-02-26,113.33,114.76,112.3,113.98
1980-02-27,113.98,115.12,111.91,112.38
1980-02-28,112.38,113.7,111.33,112.35
1980-02-29,112.35,114.12,111.77,113.66
1980-03-03,113.66,114.34,112.01,112.5
1980-03-04,112.5,113.41,110.83,112.78
1980-03-05,112.78,113.94,110.58,111.13
1980-03-06,111.13,111.29,107.85,108.65
1980-03-07,108.65,108.96,105.99,106.9
1980-03-10,106.9,107.86,104.92,106.51
1980-03-11,106.51,108.54,106.18,107.78
1980-03-12,107.78,108.4,105.42,106.87
1980-03-13,106.87,107.55,105.1,105.62
1980-03-14,105.62,106.49,104.01,105.43
1980-03-17,105.23,105.23,101.82,102.26
1980-03-18,102.26,104.71,101.14,104.1
1980-03-19,104.1,105.72,103.35,104.31
1980-03-20,104.31,105.17,102.52,103.12
1980-03-21,103.12,103.73,101.55,102.31
1980-03-24,102.18,102.18,98.88,99.28
1980-03-25,99.28,100.56,97.89,99.19
1980-03-26,99.19,101.22,98.1,98.68
1980-03-27,98.68,99.56,94.24,98.22
1980-03-28,98.22,101.43,97.72,100.68
1980-03-31,100.68,102.65,100.02,102.09
1980-04-01,102.09,103.28,100.85,102.18
1980-04-02,102.18,103.87,101.45,102.68
1980-04-03,102.68,103.34,101.31,102.15
1980-04-07,102.15,102.27,99.73,100.19
1980-04-08,100.19,101.88,99.23,101.2
1980-04-09,101.2,103.6,101.01,103.11
1980-04-10,103.11,105,102.81,104.08
1980-04-11,104.08,105.15,103.2,103.79
1980-04-14,103.79,103.92,102.08,102.84
1980-04-15,102.84,103.94,101.85,102.63
1980-04-16,102.63,104.42,101.13,101.54
1980-04-17,101.54,102.21,100.12,101.05
1980-04-18,101.05,102.07,99.97,100.55
1980-04-21,100.55,101.26,98.95,99.8
1980-04-22,100.81,104.02,100.81,103.43
1980-04-23,103.43,105.11,102.81,103.73
1980-04-24,103.73,105.43,102.93,104.4
1980-04-25,104.4,105.57,103.02,105.16
1980-04-28,105.16,106.79,104.64,105.64
1980-04-29,105.64,106.7,104.86,105.86
1980-04-30,105.86,106.72,104.5,106.29
1980-05-01,106.29,106.86,104.72,105.46
1980-05-02,105.46,106.25,104.61,105.58
1980-05-05,105.58,106.83,104.64,106.38
1980-05-06,106.38,107.83,105.36,106.25
1980-05-07,106.25,108.12,105.63,107.18
1980-05-08,107.18,108.02,105.5,106.13
1980-05-09,106.13,106.2,104.16,104.72
1980-05-12,104.72,105.48,103.5,104.78
1980-05-13,104.78,106.76,104.44,106.3
1980-05-14,106.3,107.89,106,106.85
1980-05-15,106.85,107.99,106.07,106.99
1980-05-16,106.99,107.89,106.25,107.35
1980-05-19,107.35,108.43,106.51,107.67
1980-05-20,107.67,108.39,106.75,107.62
1980-05-21,107.62,108.31,106.54,107.72
1980-05-22,107.72,109.73,107.34,109.01
1980-05-23,109.01,111.37,109.01,110.62
1980-05-27,110.62,112.3,110.35,111.4
1980-05-28,111.4,112.72,110.42,112.06
1980-05-29,112.06,112.64,109.86,110.27
1980-05-30,110.27,111.55,108.87,111.24
1980-06-02,111.24,112.15,110.06,110.76
1980-06-03,110.76,111.63,109.77,110.51
1980-06-04,110.51,113.45,110.22,112.61
1980-06-05,112.61,114.38,111.89,112.78
1980-06-06,112.78,114.01,112.11,113.2
1980-06-09,113.2,114.51,112.68,113.71
1980-06-10,113.71,115.5,113.17,114.66
1980-06-11,114.66,116.64,114.22,116.02
1980-06-12,116.02,117.01,114.28,115.52
1980-06-13,115.52,116.94,114.67,115.81
1980-06-16,115.81,116.8,114.78,116.09
1980-06-17,116.09,117.16,115.13,116.03
1980-06-18,116.03,116.84,114.77,116.26
1980-06-19,116.26,116.81,114.36,114.66
1980-06-20,114.66,114.9,113.12,114.06
1980-06-23,114.06,115.28,113.35,114.51
1980-06-24,114.51,115.75,113.76,115.14
