"CIK","COMPANY_NAME","FORM_TYPE","DATE_FILED","EDGAR_LINK","QUARTER","TICKER","SIC","EXCHANGE","HITS","YEAR"
1000180,"SANDISK CORP","10-K","2013-02-19","edgar/data/1000180/0001000180-13-000009.txt",1,"SNDK","3572","NASDAQ","3",2013
1000209,"MEDALLION FINANCIAL CORP","10-K","2013-03-13","edgar/data/1000209/0001193125-13-103504.txt",1,"TAXI","6199","NASDAQ","0",2013
1000228,"HENRY SCHEIN INC","10-K","2013-02-13","edgar/data/1000228/0001000228-13-000010.txt",1,"HSIC","5047","NASDAQ","3",2013
1000229,"CORE LABORATORIES N V","10-K","2013-02-19","edgar/data/1000229/0001000229-13-000009.txt",1,"CLB","1389","NYSE","2",2013
1000232,"KENTUCKY BANCSHARES INC  KY ","10-K","2013-03-28","edgar/data/1000232/0001104659-13-025094.txt",1,"KTYB","6022","OTC","0",2013
1000298,"IMPAC MORTGAGE HOLDINGS INC","10-K","2013-03-12","edgar/data/1000298/0001047469-13-002555.txt",1,"IMH","6798","NYSE MKT","0",2013
1000623,"SCHWEITZER MAUDUIT INTERNATIONAL INC","10-K","2013-03-01","edgar/data/1000623/0001000623-13-000042.txt",1,"SWM","2621","NYSE","0",2013
1000694,"NOVAVAX INC","10-K","2013-03-12","edgar/data/1000694/0001144204-13-014545.txt",1,"NVAX","2836","NASDAQ","1",2013
1000697,"WATERS CORP  DE ","10-K","2013-02-26","edgar/data/1000697/0001193125-13-076804.txt",1,"WAT","3826","NYSE","1",2013
1000753,"INSPERITY  INC ","10-K","2013-02-11","edgar/data/1000753/0001140361-13-005779.txt",1,"NSP","7363","NYSE","0",2013
1001082,"DISH Network CORP","10-K","2013-02-20","edgar/data/1001082/0001104659-13-011967.txt",1,"DISH","4841","NASDAQ","1",2013
1001233,"SANGAMO BIOSCIENCES INC","10-K","2013-02-26","edgar/data/1001233/0001193125-13-076887.txt",1,"SGMO","2836","NASDAQ","1",2013
1001258,"ASTA FUNDING INC","10-K","2013-01-18","edgar/data/1001258/0001193125-13-017517.txt",1,"ASFI","6153","NASDAQ","1",2013
1001288,"LEXMARK INTERNATIONAL INC  KY ","10-K","2013-02-26","edgar/data/1001288/0001193125-13-077056.txt",1,"LXK","3570","NYSE","0",2013
1001316,"TG THERAPEUTICS  INC ","10-K","2013-03-21","edgar/data/1001316/0001144204-13-016691.txt",1,"TGTX","2834","NASDAQ","1",2013
1001385,"NORTHWEST PIPE CO","10-K","2013-03-18","edgar/data/1001385/0001193125-13-112587.txt",1,"NWPX","3317","NASDAQ","1",2013
1001463,"Acacia Diversified Holdings  Inc ","10-K","2013-01-10","edgar/data/1001463/0001185185-13-000039.txt",1,"ACCA","5010","OTC","0",2013
1001463,"Acacia Diversified Holdings  Inc ","10-K","2013-02-22","edgar/data/1001463/0001185185-13-000361.txt",1,"ACCA","5010","OTC","0",2013
1001463,"Acacia Diversified Holdings  Inc ","10-K","2013-03-28","edgar/data/1001463/0001185185-13-000651.txt",1,"ACCA","5010","OTC","0",2013
1001601,"MGT CAPITAL INVESTMENTS INC","10-K","2013-03-29","edgar/data/1001601/0001144204-13-018728.txt",1,"MSHT","6794","NYSE MKT","0",2013
1001604,"EMERITUS CORP WA ","10-K","2013-03-04","edgar/data/1001604/0001001604-13-000016.txt",1,"ESC","8050","NYSE","0",2013
1001606,"BLOUNT INTERNATIONAL INC","10-K","2013-03-08","edgar/data/1001606/0001193125-13-097962.txt",1,"BLT","3420","NYSE","0",2013
1001614,"TENGASCO INC","10-K","2013-03-29","edgar/data/1001614/0001001614-13-000010.txt",1,"TGC","1311","NYSE MKT","0",2013
1001838,"SOUTHERN COPPER CORP ","10-K","2013-02-28","edgar/data/1001838/0001104659-13-015720.txt",1,"SCCO","1000","NYSE","0",2013
1001902,"INTEVAC INC","10-K","2013-02-22","edgar/data/1001902/0001193125-13-071505.txt",1,"IVAC","3559","NASDAQ","1",2013
1002225,"ADVENT SOFTWARE INC  DE ","10-K","2013-02-28","edgar/data/1002225/0001047469-13-001946.txt",1,"ADVS","7371","NASDAQ","4",2013
1002388,"ACCELRYS  INC ","10-K","2013-03-07","edgar/data/1002388/0001002388-13-000006.txt",1,"ACCL","7372","NASDAQ","0",2013
1002390,"Americas Suppliers  Inc ","10-K","2013-03-07","edgar/data/1002390/0001144204-13-013543.txt",1,"INSG","7372","","0",2013
1002910,"AMEREN CORP","10-K","2013-03-01","edgar/data/1002910/0001445305-13-000414.txt",1,"AEE","4931","NYSE","2",2013
1003130,"LCA VISION INC","10-K","2013-03-13","edgar/data/1003130/0001193125-13-104867.txt",1,"LCAV","8093","NASDAQ","0",2013
1003201,"MUNICIPAL MORTGAGE   EQUITY LLC","10-K","2013-03-26","edgar/data/1003201/0001144204-13-017605.txt",1,"MMAB","6500","OTC","0",2013
1003214,"SILICON IMAGE INC","10-K","2013-02-26","edgar/data/1003214/0001193125-13-074559.txt",1,"SIMG","3670","NASDAQ","1",2013
1003642,"IMPAX LABORATORIES INC","10-K","2013-02-26","edgar/data/1003642/0001437749-13-001948.txt",1,"IPXL","2834","NASDAQ","1",2013
1003950,"PERFORMANCE TECHNOLOGIES INC  DE ","10-K","2013-03-07","edgar/data/1003950/0001003950-13-000012.txt",1,"PTIX","3576","NASDAQ","0",2013
1003986,"TAYLOR CALVIN B BANKSHARES INC","10-K","2013-03-13","edgar/data/1003986/0001140361-13-012265.txt",1,"TYCB","6022","OTC","0",2013
1004155,"AGL RESOURCES INC","10-K","2013-02-06","edgar/data/1004155/0001004155-13-000018.txt",1,"GAS","4924","NYSE","0",2013
1004434,"AFFILIATED MANAGERS GROUP INC","10-K","2013-02-22","edgar/data/1004434/0001047469-13-001515.txt",1,"AMG","6282","NYSE","4",2013
1004673,"Entertainment Gaming Asia Inc ","10-K","2013-03-28","edgar/data/1004673/0001144204-13-018212.txt",1,"VNX","3990","NASDAQ","0",2013
1004702,"OCEANFIRST FINANCIAL CORP","10-K","2013-03-15","edgar/data/1004702/0001193125-13-109142.txt",1,"OCFC","6035","NASDAQ","1",2013
1004980,"PG E Corp","10-K","2013-02-21","edgar/data/1004980/0001004980-13-000013.txt",1,"PCG","4931","NYSE","0",2013
1005010,"ARTHROCARE CORP","10-K","2013-02-14","edgar/data/1005010/0001047469-13-001025.txt",1,"ARTC","3845","NASDAQ","0",2013
100517,"United Continental Holdings  Inc ","10-K","2013-02-25","edgar/data/100517/0001193125-13-074391.txt",1,"UAL","4512","NYSE","0",2013
1005201,"DEPOMED INC","10-K","2013-02-22","edgar/data/1005201/0001047469-13-001503.txt",1,"DEPO","2834","NASDAQ","1",2013
1005284,"UNIVERSAL DISPLAY CORP  PA ","10-K","2013-02-27","edgar/data/1005284/0001445305-13-000361.txt",1,"PANL","3670","","1",2013
1005409,"DIME COMMUNITY BANCSHARES INC","10-K","2013-03-15","edgar/data/1005409/0001005409-13-000012.txt",1,"DCOM","6035","NASDAQ","1",2013
1005414,"TOYS R US INC","10-K","2013-03-29","edgar/data/1005414/0001005414-13-000008.txt",1,"TOY","5945","","0",2013
1005757,"CSG SYSTEMS INTERNATIONAL INC","10-K","2013-03-08","edgar/data/1005757/0001193125-13-096335.txt",1,"CSGS","7374","NASDAQ","1",2013
1005817,"TOMPKINS FINANCIAL CORP","10-K","2013-03-18","edgar/data/1005817/0001387131-13-000822.txt",1,"TMP","6022","NYSE MKT","0",2013
1006045,"IRIDEX CORP","10-K","2013-03-28","edgar/data/1006045/0001193125-13-132256.txt",1,"IRIX","3845","NASDAQ","1",2013
100625,"SIERRA MONITOR CORP  CA ","10-K","2013-03-28","edgar/data/100625/0001144204-13-018186.txt",1,"SRMC","3829","OTC","0",2013
1006269,"LORAL SPACE   COMMUNICATIONS INC ","10-K","2013-03-01","edgar/data/1006269/0001144204-13-012427.txt",1,"LORL","3663","NASDAQ","1",2013
1006281,"Protalix BioTherapeutics  Inc ","10-K","2013-02-28","edgar/data/1006281/0001144204-13-012065.txt",1,"OTIX","2836","NYSE MKT","0",2013
1006424,"FIRST FEDERAL BANCSHARES OF ARKANSAS INC","10-K","2013-03-08","edgar/data/1006424/0001437749-13-002507.txt",1,"FFBH","6035","NASDAQ","0",2013
1006459,"Timios National Corp","10-K","2013-03-29","edgar/data/1006459/0001104659-13-025809.txt",1,"HOMS","6531","OTC","0",2013
