ticker,name,lastsale,marketcap,ipoyear,sector,industry
PIH,"1347 Property Insurance Holdings, Inc.",7.2001,43090000.0,2014.0,Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",25.62,,,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,2.26,70330000.0,,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",12.9,833390000.0,1999.0,Consumer Services,Other Specialty Stores
FCCY,1st Constitution Bancorp (NJ),21.3,178140000.0,,Finance,Savings Institutions
SRCE,1st Source Corporation,54.49,1410000000.0,,Finance,Major Banks
VNET,"21Vianet Group, Inc.",10.22,1140000000.0,2011.0,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",85.42,4850000000.0,2014.0,Technology,Computer Software: Prepackaged Software
JOBS,"51job, Inc.",95.78,5920000000.0,2004.0,Technology,Diversified Commercial Services
EGHT,8x8 Inc,20.65,1920000000.0,,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",21.55,482130000.0,,Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",44.6,1320000000.0,1972.0,Basic Industries,Major Chemicals
AAON,"AAON, Inc.",34.5,1810000000.0,,Capital Goods,Industrial Machinery/Components
ABAX,"ABAXIS, Inc.",83.01,1900000000.0,1992.0,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,16.1,761620000.0,,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,11.16,,,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,6.45,16620000.0,2014.0,Consumer Durables,Telecommunications Equipment
ABMD,"ABIOMED, Inc.",409.53,18220000000.0,,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,2.85,474730000.0,,Energy,Oil & Gas Production
ACIU,AC Immune SA,9.3,533830000.0,2016.0,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",34.17,1370000000.0,2016.0,Technology,Semiconductors
ACTG,Acacia Research Corporation,4.1,210120000.0,,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",41.82,3690000000.0,,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,16.4,2049999999.0,1985.0,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",0.5777,20900000.0,,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",21.2,1140000000.0,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,47.08,2160000000.0,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,29.5,610690000.0,,Finance,Savings Institutions
ARAY,Accuray Incorporated,4.075,348980000.0,2007.0,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",3.55,182190000.0,2011.0,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,23.5,176190000.0,,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,3.68,113300000.0,,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",8.99,402720000.0,2014.0,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",3.58,9900000.0,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",2.91,402570000.0,2006.0,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",25.15,2930000000.0,,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",19.76,610700000.0,2015.0,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",10.99,174080000.0,2017.0,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,34.9,245510000.0,,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",29.15,1370000000.0,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,"Activision Blizzard, Inc",75.88,57760000000.0,,Technology,Computer Software: Prepackaged Software
ACXM,Acxiom Corporation,39.45,3040000000.0,,Technology,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",25.33,683460000.0,2014.0,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,4.5,150250000.0,,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,11.74,1110000000.0,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,58.75,686930000.0,2009.0,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",1.3154,13560000.0,,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,8.3,178080000.0,2015.0,Technology,Semiconductors
ADMA,ADMA Biologics Inc,4.61,213670000.0,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,242.01,118500000000.0,1986.0,Technology,Computer Software: Prepackaged Software
ADOM,"ADOMANI, Inc.",1.06,76040000.0,2017.0,Capital Goods,Auto Parts:O.E.M.
